trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
96,False,"{'a': 0.5, 'e': 0.7494371162085136}",25,0,-173.2422797507481,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
97,False,"{'a': 0.5, 'e': 0.747188804859888}",20,0,-96.9057207466445,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
98,False,"{'a': 0.5, 'e': 0.7449472384453084}",20,0,-114.51098559283427,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
99,False,"{'a': 0.5, 'e': 0.7427123967299725}",20,0,-269.2172389979525,"{0: 8, 1: 0, 2: 6, 3: 1, 4: 5}",0
100,False,"{'a': 0.5, 'e': 0.7404842595397826}",25,0,-141.3871338352072,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
101,False,"{'a': 0.5, 'e': 0.7382628067611632}",25,10,-54.50504172712876,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 1}",1
102,False,"{'a': 0.5, 'e': 0.7360480183408797}",20,0,-12.879082251584029,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
103,False,"{'a': 0.5, 'e': 0.7338398742858571}",30,0,-188.58549826358657,"{0: 17, 1: 1, 2: 9, 3: 0, 4: 3}",0
104,False,"{'a': 0.5, 'e': 0.7316383546629995}",20,0,-3.9629677139516533,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
105,False,"{'a': 0.5, 'e': 0.7294434395990105}",25,0,-141.49924628201117,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
106,False,"{'a': 0.5, 'e': 0.7272551092802134}",20,0,-102.5007860988671,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",1
107,False,"{'a': 0.5, 'e': 0.7250733439523728}",25,0,-70.28120044025897,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
108,False,"{'a': 0.5, 'e': 0.7228981239205157}",20,11,-9.566515908588325,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.7207294295487541}",20,0,-52.60148200548326,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
110,False,"{'a': 0.5, 'e': 0.7185672412601078}",20,8,-37.59023190841749,"{0: 7, 1: 0, 2: 5, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.7164115395363275}",20,0,-11.16866710214936,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
112,False,"{'a': 0.5, 'e': 0.7142623049177186}",20,0,-119.65692023458797,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
113,False,"{'a': 0.5, 'e': 0.7121195180029655}",25,0,-52.112813875668124,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
114,False,"{'a': 0.5, 'e': 0.7099831594489566}",20,0,-46.81775036734701,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",1
115,False,"{'a': 0.5, 'e': 0.7078532099706097}",25,2,-99.07292109276385,"{0: 17, 1: 1, 2: 2, 3: 1, 4: 2}",1
116,False,"{'a': 0.5, 'e': 0.7057296503406979}",25,0,-91.02987949146846,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
117,False,"{'a': 0.5, 'e': 0.7036124613896758}",20,6,18.266665631619478,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.7015016240055068}",25,0,-125.21391299110667,"{0: 13, 1: 4, 2: 4, 3: 4, 4: 0}",0
119,False,"{'a': 0.5, 'e': 0.6993971191334902}",20,10,-2.56154474669951,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.6972989277760897}",20,0,-58.387122987479,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
121,False,"{'a': 0.5, 'e': 0.6952070309927615}",25,0,-55.36028008369101,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
122,False,"{'a': 0.5, 'e': 0.6931214098997832}",20,1,-21.703847947489763,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.6910420456700839}",30,20,-38.312101472557444,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
124,False,"{'a': 0.5, 'e': 0.6889689195330736}",25,1,-0.12296316093322313,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.6869020127744744}",20,0,-187.73928207704614,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 4}",0
126,False,"{'a': 0.5, 'e': 0.684841306736151}",20,9,-129.02121061629308,"{0: 4, 1: 0, 2: 4, 3: 1, 4: 2}",1
127,False,"{'a': 0.5, 'e': 0.6827867828159425}",30,11,-25.807855980181927,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
128,False,"{'a': 0.5, 'e': 0.6807384224674947}",20,0,-9.127047562621728,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
129,False,"{'a': 0.5, 'e': 0.6786962072000923}",20,0,-123.25783395672538,"{0: 12, 1: 4, 2: 0, 3: 2, 4: 2}",0
130,False,"{'a': 0.5, 'e': 0.676660118578492}",20,13,1.9939567111418954,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.6746301382227565}",20,1,3.13808631746173,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.6726062478080883}",30,0,-103.3008995652448,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
133,False,"{'a': 0.5, 'e': 0.6705884290646641}",25,0,-54.801962860885844,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
134,False,"{'a': 0.5, 'e': 0.66857666377747}",25,10,-102.63701973370758,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 2}",1
135,False,"{'a': 0.5, 'e': 0.6665709337861376}",25,0,-14.313678507296288,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
136,False,"{'a': 0.5, 'e': 0.6645712209847792}",20,9,-24.817931835556333,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.6625775073218249}",20,7,-27.324003715064954,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.6605897747998594}",20,0,-20.656895523211304,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
139,False,"{'a': 0.5, 'e': 0.6586080054754598}",20,10,-15.47183720615446,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.6566321814590335}",20,3,-36.696493694405795,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.6546622849146564}",30,15,-17.89987035603708,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.6526982980599124}",25,0,-15.914983603072521,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
143,False,"{'a': 0.5, 'e': 0.6507402031657327}",20,0,-45.520899640932406,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
144,False,"{'a': 0.5, 'e': 0.6487879825562355}",30,0,-114.28746956414,"{0: 24, 1: 1, 2: 2, 3: 0, 4: 3}",0
145,False,"{'a': 0.5, 'e': 0.6468416186085668}",20,5,-8.204495219408503,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.6449010937527411}",25,0,-21.19439660941331,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
147,False,"{'a': 0.5, 'e': 0.6429663904714829}",30,0,-19.866205600295636,"{0: 24, 1: 2, 2: 4, 3: 0, 4: 0}",0
148,False,"{'a': 0.5, 'e': 0.6410374913000684}",25,11,0.9420896449497524,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.6391143788261682}",20,0,-139.78344867851075,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
150,False,"{'a': 0.5, 'e': 0.6371970356896897}",35,23,6.023371031445395,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.6352854445826206}",25,0,-29.52937281241823,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
152,False,"{'a': 0.5, 'e': 0.6333795882488727}",20,0,-55.144159929177206,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
